	date	bitcoin	btc	bitcoin price	bitcoin kurs	bitcoin usd	bitcoin stock	bitcoin dollar	bitcoin euro	buy bitcoin	buy btc	btc usd	btc inr	price btc	btc stock	btc coin	btc euro
163	2021-06-13	14.75	14.82	8.8	13.44	9.68	3.12	21.0	23.46	10.360000000000001	1.8800000000000001	16.8	11.18	5.55	0.8	6.2	7.199999999999999
164	2021-06-14	25.41	26.520000000000003	18.09	27.880000000000003	22.32	21.000000000000004	35.88	39.04	18.8	19.529999999999998	29.23	41.31	16.08	21.840000000000003	17.28	17.490000000000002
165	2021-06-15	15.860000000000001	17.64	13.110000000000001	18.9	15.34	14.3	32.2	27.929999999999996	13.11	8.25	18.9	23.04	9.18	10.29	19.040000000000003	13.25
166	2021-06-16	14.25	14.25	10.34	17.68	11.44	14.49	17.490000000000002	29.0	9.180000000000001	3.74	14.5	17.28	5.07	12.09	13.72	11.5
167	2021-06-17	11.22	12.42	9.0	11.44	9.9	11.76	13.919999999999998	22.4	10.049999999999999	12.42	14.040000000000001	12.32	5.85	13.160000000000002	10.08	3.96
168	2021-06-18	11.96	12.48	8.55	10.29	8.0	12.1	21.66	27.3	8.64	12.190000000000001	11.73	18.91	4.8	9.54	23.76	15.99
169	2021-06-19	9.45	12.74	6.630000000000001	9.200000000000001	8.61	2.5	16.17	15.98	7.199999999999999	4.64	14.0	23.46	5.180000000000001	1.33	8.58	21.200000000000003
170	2021-06-20	11.22	13.68	7.739999999999999	10.8	9.68	2.6	24.64	22.94	16.5	8.19	15.25	20.099999999999998	5.460000000000001	3.36	8.450000000000001	21.349999999999998
171	2021-06-21	26.400000000000002	26.07	20.299999999999997	31.68	20.740000000000002	19.5	35.42	32.45	10.540000000000001	6.49	26.599999999999998	44.0	18.200000000000003	19.53	15.680000000000001	29.07
172	2021-06-22	43.0	47.0	41.0	42.0	48.0	43.0	53.0	75.0	17.38	33.48	49.0	26.0	39.0	37.0	21.39	59.0
173	2021-06-23	21.9	23.43	21.3	23.43	25.080000000000002	20.160000000000004	30.360000000000003	40.150000000000006	13.870000000000001	4.760000000000001	32.800000000000004	37.8	16.08	10.920000000000002	16.96	22.32
174	2021-06-24	16.12	17.92	14.0	17.28	13.0	15.12	13.860000000000001	21.56	10.08	8.36	20.48	19.53	11.129999999999999	15.120000000000001	11.52	3.3000000000000003
175	2021-06-25	17.28	17.080000000000002	11.22	17.28	13.75	10.34	23.099999999999998	18.240000000000002	11.4	8.37	22.77	20.0	8.64	7.26	15.96	3.61
176	2021-06-26	14.5	15.860000000000001	11.0	13.8	14.840000000000002	3.12	20.9	23.52	11.73	8.19	19.8	32.64	7.140000000000001	2.34	10.34	11.549999999999999
177	2021-06-27	12.42	12.959999999999999	9.200000000000001	11.75	13.26	2.16	18.700000000000003	22.549999999999997	8.7	3.4000000000000004	15.39	35.49	7.199999999999999	0.6	13.76	11.700000000000001
178	2021-06-28	13.68	16.529999999999998	11.0	15.08	14.31	12.74	21.42	22.0	9.100000000000001	24.48	19.2	24.419999999999998	8.5	7.739999999999999	9.5	19.439999999999998
179	2021-06-29	14.25	15.08	8.93	12.190000000000001	10.12	10.56	16.919999999999998	23.79	9.0	2.55	19.52	21.349999999999998	7.38	9.8	11.78	10.81
180	2021-06-30	10.5	11.73	8.8	11.0	8.8	7.82	17.5	21.66	7.98	22.33	12.25	8.680000000000001	5.76	8.1	7.3100000000000005	7.48
181	2021-07-01	13.02	10.12	11.16	15.33	10.62	11.97	23.12	27.880000000000003	11.48	16.72	11.0	19.5	4.2	11.66	13.64	19.8
182	2021-07-02	10.83	10.12	8.96	13.11	9.36	7.6499999999999995	18.09	25.500000000000004	13.580000000000002	8.55	12.48	13.25	4.16	7.6	7.4	23.49
183	2021-07-03	10.26	10.08	7.949999999999999	7.84	9.200000000000001	2.6	15.6	22.880000000000003	8.32	1.48	10.4	28.12	3.85	1.6	6.37	9.01
184	2021-07-04	10.45	10.78	7.5	11.34	10.200000000000001	2.52	16.24	32.68	7.41	1.69	11.5	16.5	3.52	3.08	2.99	33.6
185	2021-07-05	11.8	9.45	7.8	13.86	13.2	5.76	17.11	22.91	9.0	8.84	9.89	23.25	4.55	3.08	5.3999999999999995	15.36
