unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1629896400,2021-08-25 13:00:00,BTC/USD,47788.92,47926.71,47620.02,47660.00,65.06013697,3100766.1279902
1629892800,2021-08-25 12:00:00,BTC/USD,47593.75,47839.85,47454.02,47807.38,66.72149980,3189780.095108524
1629889200,2021-08-25 11:00:00,BTC/USD,47463.18,47647.60,47350.01,47566.77,81.12243184,3858732.0571739567
1629885600,2021-08-25 10:00:00,BTC/USD,47249.34,47601.27,47180.00,47498.09,89.59644616,4255660.0633878345
1629882000,2021-08-25 09:00:00,BTC/USD,47282.88,47570.00,47100.00,47249.34,151.15992219,7142206.557928855
1629878400,2021-08-25 08:00:00,BTC/USD,48166.39,48167.00,47268.97,47282.84,169.23415944,8001871.683336009
1629874800,2021-08-25 07:00:00,BTC/USD,48386.57,48517.64,48055.56,48156.91,57.72830206,2780016.6467562346
1629871200,2021-08-25 06:00:00,BTC/USD,48550.00,48619.00,48304.94,48334.55,44.80858797,2165802.9356653634
1629867600,2021-08-25 05:00:00,BTC/USD,48051.94,48563.56,48051.94,48550.00,43.09625378,2092323.121019
1629864000,2021-08-25 04:00:00,BTC/USD,47994.89,48248.95,47910.47,48023.47,44.28750999,2126839.907379465
1629860400,2021-08-25 03:00:00,BTC/USD,48216.21,48315.20,47988.48,48015.85,37.43519212,1797482.5695551021
1629856800,2021-08-25 02:00:00,BTC/USD,48159.12,48313.48,48056.01,48235.37,53.40168150,2575849.8657746552
1629853200,2021-08-25 01:00:00,BTC/USD,48012.66,48177.62,47760.00,48177.62,22.66878975,1092128.338435395
1629849600,2021-08-25 00:00:00,BTC/USD,47670.80,48119.00,47670.80,48032.56,86.30078655,4145247.7080100677
1629846000,2021-08-24 23:00:00,BTC/USD,48327.63,48406.96,47593.66,47731.33,69.54180329,3319322.761630076
1629842400,2021-08-24 22:00:00,BTC/USD,48156.29,48385.93,48136.81,48357.92,45.25915215,2188638.458937528
1629838800,2021-08-24 21:00:00,BTC/USD,48338.20,48396.20,47980.35,48218.94,35.72794685,1722763.7254833393
1629835200,2021-08-24 20:00:00,BTC/USD,48245.57,48404.48,48060.00,48338.97,58.28537492,2817454.9896966326
1629831600,2021-08-24 19:00:00,BTC/USD,48203.31,48435.86,47901.95,48249.72,69.07893150,3333039.10277418
1629828000,2021-08-24 18:00:00,BTC/USD,48023.86,48210.70,47840.01,48199.74,48.66697452,2345735.5184506243
1629824400,2021-08-24 17:00:00,BTC/USD,47952.81,48323.96,47875.18,48033.63,150.23132810,7216156.028364004
1629820800,2021-08-24 16:00:00,BTC/USD,48286.85,48405.61,47750.00,47952.81,314.13966915,15063879.86821281
1629817200,2021-08-24 15:00:00,BTC/USD,48514.10,48592.74,48200.00,48317.05,77.15635491,3727967.4580042157
1629813600,2021-08-24 14:00:00,BTC/USD,48612.03,48722.49,48300.00,48540.71,143.18402856,6950254.406962678
1629810000,2021-08-24 13:00:00,BTC/USD,49348.20,49409.63,48375.02,48612.69,402.93214663,19587615.535158735
