	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
273	2021-05-01	27	50.0	0.5	13.5
274	2021-05-02	24	44.0	0.44	10.56
275	2021-05-03	27	44.0	0.44	11.88
276	2021-05-04	29	44.0	0.44	12.76
277	2021-05-05	28	44.0	0.44	12.32
278	2021-05-06	27	44.0	0.44	11.88
279	2021-05-07	25	44.0	0.44	11.0
280	2021-05-08	25	44.0	0.44	11.0
281	2021-05-09	26	60.0	0.6	15.6
282	2021-05-10	28	60.0	0.6	16.8
283	2021-05-11	25	60.0	0.6	15.0
284	2021-05-12	28	60.0	0.6	16.8
285	2021-05-13	66	60.0	0.6	39.6
286	2021-05-14	41	60.0	0.6	24.599999999999998
287	2021-05-15	33	60.0	0.6	19.8
288	2021-05-16	36	100.0	1.0	36.0
289	2021-05-17	51	100.0	1.0	51.0
290	2021-05-18	39	100.0	1.0	39.0
291	2021-05-19	100	100.0	1.0	100.0
292	2021-05-20	76	100.0	1.0	76.0
293	2021-05-21	59	100.0	1.0	59.0
294	2021-05-22	53	100.0	1.0	53.0
295	2021-05-23	61	72.0	0.72	43.92
296	2021-05-24	55	72.0	0.72	39.6
297	2021-05-25	44	72.0	0.72	31.68
298	2021-05-26	39	72.0	0.72	28.08
299	2021-05-27	34	72.0	0.72	24.48
300	2021-05-28	36	72.0	0.72	25.919999999999998
301	2021-05-29	36	72.0	0.72	25.919999999999998
302	2021-05-30	35	54.0	0.54	18.900000000000002
303	2021-05-31	32	54.0	0.54	17.28
304	2021-06-01	70	54.0	0.54	37.800000000000004
305	2021-06-02	70	54.0	0.54	37.800000000000004
306	2021-06-03	67	54.0	0.54	36.18
307	2021-06-04	77	54.0	0.54	41.580000000000005
308	2021-06-05	70	54.0	0.54	37.800000000000004
309	2021-06-06	71	55.0	0.55	39.050000000000004
310	2021-06-07	70	55.0	0.55	38.5
311	2021-06-08	97	55.0	0.55	53.35
312	2021-06-09	88	55.0	0.55	48.400000000000006
313	2021-06-10	77	55.0	0.55	42.35
314	2021-06-11	62	55.0	0.55	34.1
